item_name,description,auth_choosen_name,preview,preview_status,video_360,video_360_status,zpr_file_status,texture_pack_link_status,Submission accepted
Lavander jumpsuit with leather belt,"Featuring a leather belt and platinum buttons, this lavender jumpsuit is designed for fun, self-expression and self-confidence. This outfit can exist not only in the virtual world, but also in your wardrobe. Just look, friends, at these cute hearts on the chest! Just wonderful!",Neverit_arist,"https://dl.airtable.com/.attachments/736e3df2f1ab6e64a410936a880aa716/1eddc434/ZERO_10_ALENANEVEROVA_STYLEFRAME_01_02_00000.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=120cd5d28670c5b9, ",All good,"https://dl.airtable.com/.attachments/55f1e574b04452fdca74c9b55a035c5c/0467f21f/ZERO_OPEN10_ALENANEVEROVA_animation_02_00.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=7a71571ba6aac80e, ",All good,All good,All good,1
Magma jacket,I created this jacket with the use of materials similar to liquid magma inspired by the power of volcano phenomenon.,Valerie Disorder,"https://dl.airtable.com/.attachments/11acb61f6f02fd537c1268fa335fb60c/202f0a33/High-resolutionpreview.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=7997733ea437dd24, ",All good,"https://dl.airtable.com/.attachments/b809470d6a70cd04546af54851173d23/4cdc7348/Magmajacket360videoH264.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=a049e34f8cf03f5d, ",All good,All good,All good,1
Mystic and Rust,The mystical and the natural. The spiritual is in the mundane and natural. ,Digital Sigga,"https://dl.airtable.com/.attachments/6141e8748a00b35cb01282f27a74f7f5/9f0cbf36/MistvalPantsandRust.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=e5b69de8a09a612a, ",All good,"https://dl.airtable.com/.attachments/b24084d4a40bb6b497d666968c5cd0dd/14fd4283/pantsandrust360.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=f0cef2448ac8acbb, ",All good,All good,All good,1
Heady,"My brand Porka_X reflects my vision of future clothes. Creating virtual clothes - I create more than clothing, I create a character. I see it as a canvas, where I'm trying to find the best shape and then apply prints on it. Print - is my self-expression. My prints reflect my passion, what is in my mind. The first impression people usually get from clothes, gestures, moves. Working in CLO3D I have an opportunity to create my own installations. Characters, that will present clothes how I see them. When I work with virtual clothes I feel freedom and pass this feeling to others. Virtual life, like virtual clothes, help us to get rid of prejudice",Porka_X,"https://dl.airtable.com/.attachments/c275e84019ff2504f6c4cfd51f88a5c8/8859c485/Porka_X_for_zero10.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=3ac37450b2bfd6e2, ",All good,"https://dl.airtable.com/.attachments/05d16f4b5c37794d6fe0c5e99618141b/105df253/Porka_X.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=3604416a2b5f8558, ",All good,All good,All good,1
syro 'drague' knit,"""Somewhere, in a sparsely populated galaxy, there is a planet like any other. The creatures of this world have four limbs. The two lower limbs enable them to move forward and backward, and the two upper limbs enable them to kill""

This quote is from experimental sci-fi animation masterpiece called ‘Fantastic Planet’ directed by Rène Laloux and based on Stefan's Wul novel. It isn't hard to guess whom this quote is referring to as 'the creatures' with four 'limbs'. It's also easy to understand that Syro 'Drague' Knit is a loving tribute to this very movie. This magnificent blue garment has a loose cropped fit and it is topped with a 3D visualization of the main character inhabiting ""Fantastic Planet"", called ""Drague"" as the sweater does.

The meaning of the 'Drague' Knit is based on film's narrative allegory about animal rights and human rights, as well as racism — problems that remain extremely relevant to this day.",Syro,"https://dl.airtable.com/.attachments/28aa926d99208afa8a940f3f3d6d5105/d9844c48/syrodragueknit.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=bfda5d3fb5ab52cd, ",All good,"https://dl.airtable.com/.attachments/501f42ff663ac6c6eb403e1f8ee2e29d/a396c6d4/syrodragueknitVideo.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=42d89b9e3dbb596a, ",All good,All good,All good,1
Oil (Neft') dress,I was inspired by global crisis. I dipped my ('asil) dress in oil to show that the reason for all wars on Earth is the struggle for resources.,Nawel ('asil),"https://dl.airtable.com/.attachments/ca7a876807ec21911f8a30802440b1de/6af4c782/neft5.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=6a648db7eee6edd4, ",All good,"https://dl.airtable.com/.attachments/fec24c2d52c1394267c5ecd6ec3c3364/88a89a95/neft5.hevc.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=ea48a53ba5b7db85, ",All good,All good,All good,1
Rusty Dress Soft Underskirt,"Soft fabric underskirt in therapeutic colors with the rough rusty dress on top, softness with a solid shell. ",Digital Sigga ,"https://dl.airtable.com/.attachments/095d189d82db3ec1c07ffd5a767bd905/8790d5fc/Rustydress.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=0ff31e785216bbbb, ",All good,"https://dl.airtable.com/.attachments/c8796e0c06dd86cd0a7c2a11fb9021ba/b30e2538/RustyDress360.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=eaa82fcd3cbb185d, ",All good,All good,All good,1
NEKRASOVA CYBERPUNK SUIT,Cyberpunk suit for those who are ready to rock the world of the WEB3 ⚡️,Ekaterina Nekrasova,"https://dl.airtable.com/.attachments/4d6ae80d967ff050ba5bb82c8ac8dfc9/09e844fb/NEKRASOVASUIT.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=81e82d232214c5a3, ",All good,"https://dl.airtable.com/.attachments/4607122e65133138267bb272496c18eb/8bedb6f8/NEKRASOVA_SUIT_hevc_compressed.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=852687f3ea4160ff, ",All good,All good,All good,1
Wow Dress,Extraordinary Futuristic dress,Dosiokana,"https://dl.airtable.com/.attachments/368e269d8c62baac6df31c4a30f97385/83e0df98/preview.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=4752117c082b8933, ",All good,"https://dl.airtable.com/.attachments/2f8eb0513094022d642d4e063965b167/bcd16f02/1_3_3.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=da000f38f2a5f302, ",All good,All good,All good,1
Vrubel blazer,This is blazer inspired by genius artist Mikhail Vrubel . i use part of his paint ,Nawel ('asil),"https://dl.airtable.com/.attachments/a5c0ee2b0c76ce1368b135ca13bd4894/d7aeeb1a/vrubelblazer_ColorwayA.png?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=276c02e4fe34940a, ",All good,"https://dl.airtable.com/.attachments/809dcebc05751132ae88146e4891a091/f636744a/vrubel-360.hevc.mp4?ts=1658991115&userId=usrJS3FPcjRWm5Vxo&cs=cac87d18630c9684, ",All good,All good,All good,1
